,name,slug_club,displayName,slug_player,status.lastFiveSo5Appearances,status.lastFiveSo5AverageScore,status.lastFifteenSo5Appearances,status.lastFifteenSo5AverageScore,status.playingStatus,position,score,level_score,mins_played,yellow_card,was_fouled,error_lead_to_shot,double_double,triple_double,triple_triple,poss_lost_ctrl,duel_lost,duel_won,big_chance_created,adjusted_total_att_assist,accurate_pass,successful_final_third_passes,ontarget_scoring_att,won_contest,pen_area_entries,penalty_kick_missed,big_chance_missed,saves,saved_ibox,good_high_claim,punches,dive_save,dive_catch,cross_not_claimed,six_second_violation,gk_smother,accurate_keeper_sweeper,goals,accurate_long_balls,missed_pass,three_goals_conceded,clean_sheet_60,penalty_save,fouls,goals_conceded,won_tackle,blocked_cross,outfielder_block,poss_won,interception_won,effective_clearance,long_pass_own_to_opp_success,penalty_conceded,goal_assist,assist_penalty_won,red_card,last_man_tackle,error_lead_to_goal,clearance_off_line,own_goals
10,AS Monaco FC,monaco-monaco,Eric Ayiah,eric-ayiah,0,0.0,0,0.0,not_playing,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AS Monaco FC,monaco-monaco,Florian Baranik,florian-baranik,0,0.0,0,0.0,not_playing,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AS Monaco FC,monaco-monaco,Fouad El Maach,fouad-el-maach,0,0.0,0,0.0,not_playing,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,AS Monaco FC,monaco-monaco,Fàbregas,francesc-fabregas-i-soler,0,0.0,0,0.0,not_playing,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,AS Monaco FC,monaco-monaco,Félix Lemaréchal,felix-lemarechal,0,0.0,0,0.0,not_playing,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,AS Monaco FC,monaco-monaco,Gelson Martins,gelson-dany-batalha-martins,5,37.98,15,40.9,starter,Midfielder,37.98,0.0,57.2,0.0,1.2,0.0,0.2,0.0,0.0,10.0,5.0,6.2,0.0,0.8,14.6,7.4,0.2,3.4,1.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,0.0,0.0,0.0,0.6,0.4,0.8,0.0,0.0,2.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,AS Monaco FC,monaco-monaco,Guillermo Maripán,guillermo-alfonso-maripan-loaysa,4,68.0,13,59.9076923076923,starter,Defender,54.4,0.0,72.0,0.2,0.0,0.2,0.4,0.0,0.0,7.4,2.8,4.2,0.0,0.0,46.2,6.4,0.0,0.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,6.6,0.0,0.4,0.0,1.2,0.6,1.0,0.0,0.8,6.6,1.2,2.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
17,AS Monaco FC,monaco-monaco,Harisson Marcelin,jean-marcelin,0,0.0,0,0.0,not_playing,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,AS Monaco FC,monaco-monaco,Ismail Jakobs,ismail-jakobs,2,39.85,11,38.89090909090909,substitute,Forward,15.940000000000001,0.0,22.6,0.0,0.4,0.0,0.0,0.0,0.0,5.2,0.2,1.0,0.0,0.4,11.6,5.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,AS Monaco FC,monaco-monaco,Jean Lucas,jean-lucas-de-souza-oliveira,5,50.3,13,42.06923076923077,starter,Midfielder,50.3,0.0,79.0,0.0,0.6,0.0,0.2,0.2,0.0,16.4,6.2,5.0,0.0,0.6,31.2,13.4,1.2,2.0,6.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,6.8,0.0,0.0,0.0,1.8,0.8,1.2,0.0,0.4,6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
20,AS Monaco FC,monaco-monaco,Kevin Volland,kevin-volland,4,33.3,13,53.54615384615385,regular,Forward,26.639999999999997,0.0,50.0,0.0,0.2,0.0,0.0,0.0,0.0,5.8,3.0,1.6,0.0,0.6,8.0,4.2,0.2,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
21,AS Monaco FC,monaco-monaco,Krepin Diatta,krepin-diatta,0,0.0,1,73.7,not_playing,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,AS Monaco FC,monaco-monaco,Louis Torres,louis-torres,0,0.0,0,0.0,not_playing,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,AS Monaco FC,monaco-monaco,Maghnes Akliouche,maghnes-akliouche,4,24.85,5,24.84,substitute,Midfielder,19.880000000000003,0.0,6.4,0.2,0.2,0.0,0.0,0.0,0.0,1.4,0.8,0.6,0.0,0.2,2.0,1.4,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,AS Monaco FC,monaco-monaco,Myron Boadu,myron-boadu,0,0.0,9,32.75555555555556,not_playing,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,AS Monaco FC,monaco-monaco,Pelé,judilson-mamadu-tuncara-gomes,0,0.0,1,27.6,not_playing,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,AS Monaco FC,monaco-monaco,Radosław Majecki,radoslaw-majecki,0,0.0,1,40.2,not_playing,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,AS Monaco FC,monaco-monaco,Ruben Aguilar,ruben-aguilar,3,50.53333333333333,9,44.83333333333333,regular,Defender,30.32,0.0,42.6,0.4,0.0,0.0,0.2,0.0,0.0,7.8,2.6,2.6,0.0,0.4,18.6,8.8,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.2,0.0,0.2,0.0,1.0,0.6,1.0,0.0,0.2,2.4,0.6,1.4,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
28,AS Monaco FC,monaco-monaco,Sofiane Diop,sofiane-diop,5,63.58,15,58.84,starter,Midfielder,63.58,0.0,77.8,0.0,2.0,0.0,0.4,0.0,0.0,15.8,6.6,7.2,0.8,1.6,29.8,16.8,0.4,2.8,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.2,0.0,0.0,0.0,1.0,1.2,0.6,0.0,0.0,4.8,1.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
29,AS Monaco FC,monaco-monaco,Soungoutou Magassa,soungoutou-magassa,0,0.0,0,0.0,not_playing,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,AS Monaco FC,monaco-monaco,Tiago Ribeiro,tiago-miguel-hora-ribeiro,1,23.7,1,23.7,not_playing,Defender,4.74,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,AS Monaco FC,monaco-monaco,Valentin Decarpentrie,valentin-salatiel-decarpentrie,0,0.0,0,0.0,not_playing,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,AS Monaco FC,monaco-monaco,Vanderson,vanderson-de-oliveira-campos,5,43.0,12,31.79166666666666,regular,Defender,43.0,0.0,59.8,0.2,0.0,0.0,0.2,0.0,0.0,13.0,5.0,4.4,0.0,0.8,26.2,11.4,0.6,1.2,3.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.8,6.8,0.0,0.0,0.0,1.0,0.8,1.2,0.2,0.2,6.2,0.6,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,AS Monaco FC,monaco-monaco,Vito Mannone,vito-mannone,0,0.0,0,0.0,not_playing,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,AS Monaco FC,monaco-monaco,Wissam Ben Yedder,wissam-ben-yedder,5,62.27999999999999,14,58.78571428571428,starter,Forward,62.279999999999994,0.0,88.8,0.0,1.0,0.0,0.0,0.0,0.0,13.6,5.2,3.0,0.6,1.4,18.2,11.2,1.4,0.8,3.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
35,AS Monaco FC,monaco-monaco,Yann Lienard,yann-lienard,0,0.0,0,0.0,not_playing,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,AS Monaco FC,monaco-monaco,Yllan Okou,yllan-okou,0,0.0,0,0.0,not_playing,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,AS Monaco FC,monaco-monaco,Youssouf Fofana,youssouf-fofana,4,33.525,11,36.39090909090909,substitute,Midfielder,26.82,0.0,35.8,0.0,0.6,0.0,0.0,0.0,0.0,5.8,2.8,3.0,0.0,0.6,14.8,5.2,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.6,0.0,0.0,0.0,0.6,0.2,0.4,0.2,0.0,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,AS Saint-Étienne,saint-etienne-saint-etienne,Abdoulaye Bakayoko,abdoulaye-bakayoko,0,0.0,2,54.85,not_playing,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,AS Saint-Étienne,saint-etienne-saint-etienne,Adil Aouchiche,adil-aouchiche,5,37.4,13,37.32307692307692,substitute,Midfielder,37.4,0.0,16.6,0.0,0.4,0.0,0.0,0.0,0.0,3.8,1.2,0.6,0.0,0.0,8.4,3.8,0.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
40,AS Saint-Étienne,saint-etienne-saint-etienne,Arnaud Nordin,arnaud-nordin,5,49.44,13,46.0923076923077,regular,Forward,49.440000000000005,0.0,52.0,0.0,1.6,0.0,0.0,0.0,0.0,8.4,3.2,4.2,0.2,0.4,12.8,5.0,1.2,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
41,AS Saint-Étienne,saint-etienne-saint-etienne,Assane Diousse,assane-diousse-el-hadji,1,25.0,3,24.86666666666666,not_playing,Midfielder,5.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,AS Saint-Étienne,saint-etienne-saint-etienne,Aïmen Moueffek,aimen-moueffek,3,39.6,9,32.7,substitute,Midfielder,23.759999999999998,0.0,23.2,0.0,0.0,0.0,0.2,0.0,0.0,3.0,2.0,2.4,0.0,0.4,14.2,3.4,0.0,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0,2.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,AS Saint-Étienne,saint-etienne-saint-etienne,Bakary Sako,bakary-sako,2,43.4,3,38.66666666666666,substitute,Forward,17.36,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.2,0.0,0.2,1.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
44,AS Saint-Étienne,saint-etienne-saint-etienne,Bilal Benkhedim,bilal-benkhedim,0,0.0,0,0.0,not_playing,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,AS Saint-Étienne,saint-etienne-saint-etienne,Boubacar Fall,boubacar-fall,0,0.0,0,0.0,not_playing,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
